,id,sex,age,education,game_won,time_to_2,time_to_7,time_to_end,time_total
23,39,m,1.0,1.0,1.0,0 days 00:00:33.655941,0 days 00:04:08.285033,0 days 00:05:32.083520,0 days 00:05:32.083520
24,40,,2.0,3.0,1.0,0 days 00:00:57.821386,0 days 00:05:41.534652,0 days 00:08:40.262367,0 days 00:08:40.262367
26,42,m,1.0,1.0,,,,,
27,43,,2.0,2.0,,,,,
28,44,m,2.0,2.0,1.0,0 days 00:02:51.843433,0 days 00:07:01.870012,0 days 00:13:48.657318,0 days 00:13:48.657318
29,45,m,1.0,1.0,1.0,0 days 00:01:28.176638,0 days 00:09:10.230973,0 days 01:22:45.670628,0 days 01:22:45.670628
30,46,m,2.0,3.0,1.0,0 days 00:02:38.559892,0 days 00:11:53.069158,0 days 00:13:04.310493,0 days 00:13:04.310493
31,47,m,2.0,3.0,,0 days 00:01:49.141721,0 days 00:03:08.369384,,
32,48,m,2.0,3.0,,,,,
33,49,f,2.0,3.0,0.0,0 days 00:03:46.101201,0 days 00:08:21.770537,,0 days 00:14:50.439009
34,50,f,2.0,3.0,,0 days 00:00:47.450223,0 days 00:11:44.775661,,
35,51,m,1.0,3.0,,,,,
37,53,f,2.0,4.0,,0 days 00:00:38.158743,0 days 00:19:11.528200,,
38,54,m,1.0,3.0,1.0,0 days 00:02:29.144613,0 days 00:04:17.184716,0 days 00:07:11.729609,0 days 00:07:11.729609
40,56,m,1.0,1.0,,,,,
41,57,,,,0.0,,,,0 days 00:00:28.346284
42,58,m,2.0,3.0,1.0,0 days 00:02:14.906322,0 days 00:04:31.423755,0 days 00:12:43.346026,0 days 00:12:43.346026
44,60,f,1.0,3.0,1.0,0 days 00:00:30.660026,0 days 00:07:12.783163,0 days 00:22:13.242811,0 days 00:22:13.242811
45,61,m,2.0,3.0,1.0,0 days 00:01:19.419906,0 days 00:03:13.772736,0 days 00:07:16.866779,0 days 00:07:16.866779
48,64,m,1.0,2.0,,1 days 23:45:11.941672,,,
49,65,m,1.0,2.0,1.0,0 days 00:01:17.361337,0 days 00:03:12.043462,0 days 00:06:35.014761,0 days 00:06:35.014761
50,66,m,1.0,2.0,,,,,
51,67,m,2.0,2.0,,0 days 00:01:40.554681,,,
52,68,m,1.0,3.0,1.0,0 days 00:02:48.711980,0 days 00:06:21.525843,0 days 00:10:16.761411,0 days 00:10:16.761411
53,69,m,1.0,3.0,1.0,0 days 00:00:40.366221,0 days 00:03:28.726368,0 days 00:04:50.202861,0 days 00:04:50.202861
54,70,f,1.0,2.0,0.0,,,,0 days 00:00:21.976635
55,71,,3.0,4.0,1.0,0 days 00:02:00.955862,0 days 00:07:09.357303,0 days 00:12:22.830495,0 days 00:12:22.830495
56,72,m,1.0,3.0,0.0,,,,0 days 00:00:56.243875
57,73,,0.0,3.0,0.0,0 days 00:00:45.397837,,,0 days 00:10:18.450046
58,74,m,3.0,4.0,,,,,
59,75,m,1.0,2.0,1.0,0 days 00:00:38.965960,0 days 00:02:45.388854,0 days 00:05:07.395267,0 days 00:05:07.395267
60,76,m,2.0,3.0,,0 days 00:03:05.277618,0 days 00:14:30.889599,,
61,77,m,3.0,4.0,1.0,0 days 00:02:59.703241,0 days 00:07:06.243295,0 days 02:27:08.209539,0 days 02:27:08.209539
62,78,m,1.0,1.0,,,,,
64,80,f,1.0,3.0,,0 days 00:00:18.102280,0 days 00:03:10.602512,,
65,81,f,3.0,4.0,1.0,0 days 00:01:06.386763,0 days 00:07:24.921296,0 days 00:23:51.667666,0 days 00:23:51.667666
66,82,,,,,0 days 00:01:38.638891,0 days 00:05:13.700975,,
67,83,m,3.0,4.0,1.0,0 days 00:01:02.337611,0 days 03:55:36.734340,0 days 04:00:24.164443,0 days 04:00:24.164443
68,84,m,3.0,4.0,1.0,0 days 00:00:49.874530,0 days 00:05:26.246044,0 days 00:07:57.156396,0 days 00:07:57.156396
69,85,m,2.0,3.0,,,,,
70,86,m,1.0,1.0,1.0,0 days 00:01:01.027328,0 days 00:04:50.408848,0 days 00:07:50.445846,0 days 00:07:50.445846
71,87,m,1.0,3.0,0.0,,,,0 days 00:00:24.918462
72,88,m,1.0,2.0,1.0,0 days 00:01:08.482742,0 days 00:03:37.172380,0 days 00:05:00.590906,0 days 00:05:00.590906
73,89,m,2.0,2.0,1.0,0 days 00:00:47.865775,0 days 00:02:31.791246,0 days 00:06:23.211422,0 days 00:06:23.211422
74,90,m,1.0,3.0,1.0,0 days 00:04:05.161542,0 days 00:09:45.385088,0 days 00:15:25.285041,0 days 00:15:25.285041
75,91,m,1.0,2.0,0.0,0 days 00:00:58.846428,0 days 00:03:52.194356,,0 days 00:08:22.232228
77,93,m,1.0,1.0,1.0,0 days 00:01:11.657162,0 days 00:02:49.251791,0 days 00:05:02.744659,0 days 00:05:02.744659
78,94,m,1.0,1.0,1.0,0 days 00:00:28.618415,0 days 00:01:57.491902,0 days 00:03:40.342825,0 days 00:03:40.342825
